label,include,freq,fixfreq,freqerr,amp,fixamp,amperr,phase,brute,fixphase,phaseerr
f0,True,3.6377217730068674,False,4.739403476491592e-06,0.002711399145487703,False,6.005528711186977e-07,0.8048940458038487,False,False,3.5397010593687955e-05
f1,True,6.299870398145313,False,5.723326671820415e-06,0.002189367526790922,False,6.184883551468276e-07,0.04133226983140048,False,False,4.5598066469936e-05
f2,True,4.81638266136843,False,1.7542499045265275e-05,0.0007046800788183382,False,6.0467340855798e-07,0.6140720300682005,False,False,0.00013785560462098806
f3,True,1.5213808037023766,False,1.8624844102047126e-05,0.0006612687824005053,False,5.922190525577998e-07,0.8185554577798939,False,False,0.0001426695241129873
f4,True,1.0622494286714124,False,2.010596416624132e-05,0.0006126828251120659,False,5.952951730490866e-07,0.2688754855860225,False,False,0.00015403842847368213
f5,True,0.7600761188316303,False,2.176223805464068e-05,0.0005678643287906551,False,5.941570144099885e-07,0.5694092095357064,False,False,0.00016586698568988545
f6,True,7.27463626788427,False,2.711408721994123e-05,0.00045522578542027734,False,6.239371292657001e-07,0.604235524262549,False,False,0.00022255091482878628
f7,True,6.392463237731328,False,3.364715038583073e-05,0.00037123961974191316,False,6.194636825583562e-07,0.019399557282667956,False,False,0.000269118774937507
f8,True,5.930231437787681,False,3.591738314825305e-05,0.00034648521754371834,False,6.110458429008806e-07,0.9193727837027836,False,False,0.0002873540192313321
f9,True,5.237989098536887,False,3.661098675949609e-05,0.0003378244070147552,False,6.076553076586799e-07,0.9818023625621208,False,False,0.00028887888941942614
f10,True,3.7362970318225086,False,3.915346458697659e-05,0.0003283604826018714,False,5.920495454150133e-07,0.3895449864494367,False,False,0.0002868970826783735
